GpsTm=789200724,Flag=4,Longi=114.072803,Lati=22.755983,Speed=582(0.1km/h),Yaw=115(deg)
AcceSpeed(X/Y/Z)=2/-8/99 (0.01g), AngSpeed(X/Y/Z)=-38/-267/-1 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-25/102 (0.01g), AngSpeed(X/Y/Z)=303/-210/-97 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-24/107 (0.01g), AngSpeed(X/Y/Z)=303/-210/-97 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-22/90 (0.01g), AngSpeed(X/Y/Z)=353/-222/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-23/111 (0.01g), AngSpeed(X/Y/Z)=353/-222/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-27/101 (0.01g), AngSpeed(X/Y/Z)=353/-222/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-25/92 (0.01g), AngSpeed(X/Y/Z)=353/-222/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-22/94 (0.01g), AngSpeed(X/Y/Z)=353/-222/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-26/99 (0.01g), AngSpeed(X/Y/Z)=353/-222/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=12/-23/90 (0.01g), AngSpeed(X/Y/Z)=298/-178/-108 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-19/92 (0.01g), AngSpeed(X/Y/Z)=298/-178/-108 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-25/96 (0.01g), AngSpeed(X/Y/Z)=298/-178/-108 (0.01deg/s)
AcceSpeed(X/Y/Z)=12/-21/91 (0.01g), AngSpeed(X/Y/Z)=298/-178/-108 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-19/93 (0.01g), AngSpeed(X/Y/Z)=298/-178/-108 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-23/94 (0.01g), AngSpeed(X/Y/Z)=298/-178/-108 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-22/100 (0.01g), AngSpeed(X/Y/Z)=298/-178/-108 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-25/94 (0.01g), AngSpeed(X/Y/Z)=224/-211/-121 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-21/100 (0.01g), AngSpeed(X/Y/Z)=224/-211/-121 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-25/105 (0.01g), AngSpeed(X/Y/Z)=224/-211/-121 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-24/91 (0.01g), AngSpeed(X/Y/Z)=224/-211/-121 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-25/100 (0.01g), AngSpeed(X/Y/Z)=224/-211/-121 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-22/101 (0.01g), AngSpeed(X/Y/Z)=224/-211/-121 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-25/100 (0.01g), AngSpeed(X/Y/Z)=178/-223/-134 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-25/96 (0.01g), AngSpeed(X/Y/Z)=178/-223/-134 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-22/102 (0.01g), AngSpeed(X/Y/Z)=178/-223/-134 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-23/106 (0.01g), AngSpeed(X/Y/Z)=178/-223/-134 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-22/95 (0.01g), AngSpeed(X/Y/Z)=178/-223/-134 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-27/104 (0.01g), AngSpeed(X/Y/Z)=178/-223/-134 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-24/102 (0.01g), AngSpeed(X/Y/Z)=165/-212/-149 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-20/100 (0.01g), AngSpeed(X/Y/Z)=165/-212/-149 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-23/105 (0.01g), AngSpeed(X/Y/Z)=165/-212/-149 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-22/95 (0.01g), AngSpeed(X/Y/Z)=165/-212/-149 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-22/105 (0.01g), AngSpeed(X/Y/Z)=165/-212/-149 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-20/99 (0.01g), AngSpeed(X/Y/Z)=165/-212/-149 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-23/106 (0.01g), AngSpeed(X/Y/Z)=200/-175/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-22/98 (0.01g), AngSpeed(X/Y/Z)=200/-175/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-20/99 (0.01g), AngSpeed(X/Y/Z)=200/-175/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-22/105 (0.01g), AngSpeed(X/Y/Z)=200/-175/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-17/93 (0.01g), AngSpeed(X/Y/Z)=200/-175/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-20/104 (0.01g), AngSpeed(X/Y/Z)=200/-175/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-18/98 (0.01g), AngSpeed(X/Y/Z)=255/-161/-186 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-19/95 (0.01g), AngSpeed(X/Y/Z)=255/-161/-186 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-22/105 (0.01g), AngSpeed(X/Y/Z)=255/-161/-186 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-17/95 (0.01g), AngSpeed(X/Y/Z)=255/-161/-186 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-21/98 (0.01g), AngSpeed(X/Y/Z)=255/-161/-186 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-19/95 (0.01g), AngSpeed(X/Y/Z)=255/-161/-186 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-18/100 (0.01g), AngSpeed(X/Y/Z)=288/-163/-213 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-22/99 (0.01g), AngSpeed(X/Y/Z)=288/-163/-213 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-20/102 (0.01g), AngSpeed(X/Y/Z)=288/-163/-213 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-20/101 (0.01g), AngSpeed(X/Y/Z)=288/-163/-213 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-20/99 (0.01g), AngSpeed(X/Y/Z)=288/-163/-213 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-21/97 (0.01g), AngSpeed(X/Y/Z)=288/-163/-213 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-22/100 (0.01g), AngSpeed(X/Y/Z)=288/-163/-213 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-21/99 (0.01g), AngSpeed(X/Y/Z)=262/-172/-229 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-19/98 (0.01g), AngSpeed(X/Y/Z)=262/-172/-229 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-23/103 (0.01g), AngSpeed(X/Y/Z)=262/-172/-229 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-20/98 (0.01g), AngSpeed(X/Y/Z)=262/-172/-229 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-21/98 (0.01g), AngSpeed(X/Y/Z)=262/-172/-229 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-21/105 (0.01g), AngSpeed(X/Y/Z)=262/-172/-229 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-19/99 (0.01g), AngSpeed(X/Y/Z)=198/-159/-232 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-21/94 (0.01g), AngSpeed(X/Y/Z)=198/-159/-232 (0.01deg/s)
GpsTm=789200818,Flag=4,Longi=114.075352,Lati=22.758332,Speed=218(0.1km/h),Yaw=348(deg)
AcceSpeed(X/Y/Z)=0/-22/103 (0.01g), AngSpeed(X/Y/Z)=198/-159/-232 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-19/97 (0.01g), AngSpeed(X/Y/Z)=198/-159/-232 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-20/105 (0.01g), AngSpeed(X/Y/Z)=198/-159/-232 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-19/101 (0.01g), AngSpeed(X/Y/Z)=198/-159/-232 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-19/98 (0.01g), AngSpeed(X/Y/Z)=166/-155/-245 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-21/102 (0.01g), AngSpeed(X/Y/Z)=166/-155/-245 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-20/99 (0.01g), AngSpeed(X/Y/Z)=166/-155/-245 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-20/101 (0.01g), AngSpeed(X/Y/Z)=166/-155/-245 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-23/106 (0.01g), AngSpeed(X/Y/Z)=166/-155/-245 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-20/98 (0.01g), AngSpeed(X/Y/Z)=166/-155/-245 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-23/101 (0.01g), AngSpeed(X/Y/Z)=166/-155/-245 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/0/0 (0.01g), AngSpeed(X/Y/Z)=200/-190/-271 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-21/100 (0.01g), AngSpeed(X/Y/Z)=200/-190/-271 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-20/100 (0.01g), AngSpeed(X/Y/Z)=200/-190/-271 (0.01deg/s)
AcceSpeed(X/Y/Z)=-4/-16/98 (0.01g), AngSpeed(X/Y/Z)=200/-190/-271 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-20/98 (0.01g), AngSpeed(X/Y/Z)=200/-190/-271 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-20/102 (0.01g), AngSpeed(X/Y/Z)=200/-190/-271 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-18/97 (0.01g), AngSpeed(X/Y/Z)=239/-151/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-23/102 (0.01g), AngSpeed(X/Y/Z)=239/-151/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-18/104 (0.01g), AngSpeed(X/Y/Z)=239/-151/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-20/100 (0.01g), AngSpeed(X/Y/Z)=239/-151/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-18/101 (0.01g), AngSpeed(X/Y/Z)=239/-151/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-16/101 (0.01g), AngSpeed(X/Y/Z)=239/-151/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-22/99 (0.01g), AngSpeed(X/Y/Z)=266/-188/-273 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-17/100 (0.01g), AngSpeed(X/Y/Z)=266/-188/-273 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-19/99 (0.01g), AngSpeed(X/Y/Z)=266/-188/-273 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-19/101 (0.01g), AngSpeed(X/Y/Z)=266/-188/-273 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-19/102 (0.01g), AngSpeed(X/Y/Z)=266/-188/-273 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-22/99 (0.01g), AngSpeed(X/Y/Z)=266/-188/-273 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-21/103 (0.01g), AngSpeed(X/Y/Z)=266/-188/-273 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-21/94 (0.01g), AngSpeed(X/Y/Z)=253/-168/-267 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-20/101 (0.01g), AngSpeed(X/Y/Z)=253/-168/-267 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-18/103 (0.01g), AngSpeed(X/Y/Z)=253/-168/-267 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-18/93 (0.01g), AngSpeed(X/Y/Z)=253/-168/-267 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-22/102 (0.01g), AngSpeed(X/Y/Z)=253/-168/-267 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-19/96 (0.01g), AngSpeed(X/Y/Z)=253/-168/-267 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-21/97 (0.01g), AngSpeed(X/Y/Z)=198/-172/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-21/105 (0.01g), AngSpeed(X/Y/Z)=198/-172/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-19/100 (0.01g), AngSpeed(X/Y/Z)=198/-172/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-21/99 (0.01g), AngSpeed(X/Y/Z)=198/-172/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-19/99 (0.01g), AngSpeed(X/Y/Z)=198/-172/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-18/97 (0.01g), AngSpeed(X/Y/Z)=198/-172/-268 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-22/100 (0.01g), AngSpeed(X/Y/Z)=198/-172/-257 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-22/97 (0.01g), AngSpeed(X/Y/Z)=170/-175/-257 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/0/0 (0.01g), AngSpeed(X/Y/Z)=170/-175/-257 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-22/99 (0.01g), AngSpeed(X/Y/Z)=170/-175/-257 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-22/97 (0.01g), AngSpeed(X/Y/Z)=170/-175/-257 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-23/99 (0.01g), AngSpeed(X/Y/Z)=170/-175/-257 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-23/104 (0.01g), AngSpeed(X/Y/Z)=170/-175/-257 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-21/100 (0.01g), AngSpeed(X/Y/Z)=175/-172/-241 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-23/100 (0.01g), AngSpeed(X/Y/Z)=175/-172/-241 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-24/100 (0.01g), AngSpeed(X/Y/Z)=175/-172/-241 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-20/101 (0.01g), AngSpeed(X/Y/Z)=175/-172/-241 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-20/99 (0.01g), AngSpeed(X/Y/Z)=175/-172/-241 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-24/96 (0.01g), AngSpeed(X/Y/Z)=175/-172/-241 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-22/103 (0.01g), AngSpeed(X/Y/Z)=154/-192/-226 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-27/99 (0.01g), AngSpeed(X/Y/Z)=154/-192/-226 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-23/99 (0.01g), AngSpeed(X/Y/Z)=154/-192/-226 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-20/99 (0.01g), AngSpeed(X/Y/Z)=154/-192/-226 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-26/100 (0.01g), AngSpeed(X/Y/Z)=154/-192/-226 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-24/101 (0.01g), AngSpeed(X/Y/Z)=154/-192/-226 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-26/100 (0.01g), AngSpeed(X/Y/Z)=174/-222/-219 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-26/102 (0.01g), AngSpeed(X/Y/Z)=174/-222/-219 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-24/98 (0.01g), AngSpeed(X/Y/Z)=174/-222/-219 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-25/96 (0.01g), AngSpeed(X/Y/Z)=174/-222/-219 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-24/98 (0.01g), AngSpeed(X/Y/Z)=174/-222/-219 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-26/100 (0.01g), AngSpeed(X/Y/Z)=174/-222/-219 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-26/97 (0.01g), AngSpeed(X/Y/Z)=197/-185/-193 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-25/100 (0.01g), AngSpeed(X/Y/Z)=197/-185/-193 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-22/94 (0.01g), AngSpeed(X/Y/Z)=197/-185/-193 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-25/97 (0.01g), AngSpeed(X/Y/Z)=197/-185/-193 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-26/103 (0.01g), AngSpeed(X/Y/Z)=197/-185/-193 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-24/98 (0.01g), AngSpeed(X/Y/Z)=197/-185/-193 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-24/98 (0.01g), AngSpeed(X/Y/Z)=197/-185/-193 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-24/100 (0.01g), AngSpeed(X/Y/Z)=192/-192/-172 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-26/98 (0.01g), AngSpeed(X/Y/Z)=192/-192/-172 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/0/0 (0.01g), AngSpeed(X/Y/Z)=192/-192/-172 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-25/103 (0.01g), AngSpeed(X/Y/Z)=192/-192/-172 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-29/102 (0.01g), AngSpeed(X/Y/Z)=192/-192/-172 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-27/101 (0.01g), AngSpeed(X/Y/Z)=192/-192/-172 (0.01deg/s)
GpsTm=789200819,Flag=4,Longi=114.075340,Lati=22.758390,Speed=252(0.1km/h),Yaw=350(deg)
AcceSpeed(X/Y/Z)=2/-27/98 (0.01g), AngSpeed(X/Y/Z)=187/-224/-167 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-30/96 (0.01g), AngSpeed(X/Y/Z)=187/-224/-167 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-27/97 (0.01g), AngSpeed(X/Y/Z)=187/-224/-167 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-27/94 (0.01g), AngSpeed(X/Y/Z)=187/-224/-167 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-31/101 (0.01g), AngSpeed(X/Y/Z)=187/-224/-167 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-32/96 (0.01g), AngSpeed(X/Y/Z)=187/-224/-167 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-26/95 (0.01g), AngSpeed(X/Y/Z)=165/-201/-150 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-30/97 (0.01g), AngSpeed(X/Y/Z)=165/-201/-150 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-27/95 (0.01g), AngSpeed(X/Y/Z)=165/-201/-150 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-26/101 (0.01g), AngSpeed(X/Y/Z)=165/-201/-150 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-30/97 (0.01g), AngSpeed(X/Y/Z)=165/-201/-150 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-29/97 (0.01g), AngSpeed(X/Y/Z)=165/-201/-150 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-25/100 (0.01g), AngSpeed(X/Y/Z)=165/-201/-150 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-30/98 (0.01g), AngSpeed(X/Y/Z)=137/-196/-128 (0.01deg/s)
AcceSpeed(X/Y/Z)=11/-28/97 (0.01g), AngSpeed(X/Y/Z)=137/-196/-128 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-27/101 (0.01g), AngSpeed(X/Y/Z)=137/-196/-128 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-33/98 (0.01g), AngSpeed(X/Y/Z)=137/-196/-128 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-28/98 (0.01g), AngSpeed(X/Y/Z)=137/-196/-128 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-28/96 (0.01g), AngSpeed(X/Y/Z)=137/-196/-128 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-31/99 (0.01g), AngSpeed(X/Y/Z)=161/-202/-115 (0.01deg/s)
AcceSpeed(X/Y/Z)=9/-30/94 (0.01g), AngSpeed(X/Y/Z)=161/-202/-115 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-28/94 (0.01g), AngSpeed(X/Y/Z)=161/-202/-115 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-31/98 (0.01g), AngSpeed(X/Y/Z)=161/-202/-115 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-30/98 (0.01g), AngSpeed(X/Y/Z)=161/-202/-115 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-25/98 (0.01g), AngSpeed(X/Y/Z)=161/-202/-115 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-33/98 (0.01g), AngSpeed(X/Y/Z)=161/-202/-115 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-31/97 (0.01g), AngSpeed(X/Y/Z)=194/-220/-105 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-25/104 (0.01g), AngSpeed(X/Y/Z)=194/-220/-105 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-32/97 (0.01g), AngSpeed(X/Y/Z)=194/-220/-105 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-26/98 (0.01g), AngSpeed(X/Y/Z)=194/-220/-105 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-23/99 (0.01g), AngSpeed(X/Y/Z)=194/-220/-105 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-35/99 (0.01g), AngSpeed(X/Y/Z)=194/-220/-105 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-32/96 (0.01g), AngSpeed(X/Y/Z)=224/-225/-93 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-27/99 (0.01g), AngSpeed(X/Y/Z)=224/-225/-93 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-28/99 (0.01g), AngSpeed(X/Y/Z)=224/-225/-93 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-29/100 (0.01g), AngSpeed(X/Y/Z)=224/-225/-93 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-25/98 (0.01g), AngSpeed(X/Y/Z)=224/-225/-93 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-33/98 (0.01g), AngSpeed(X/Y/Z)=224/-225/-93 (0.01deg/s)
AcceSpeed(X/Y/Z)=12/-34/94 (0.01g), AngSpeed(X/Y/Z)=224/-202/-83 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-26/99 (0.01g), AngSpeed(X/Y/Z)=224/-202/-83 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-27/98 (0.01g), AngSpeed(X/Y/Z)=224/-202/-83 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-32/100 (0.01g), AngSpeed(X/Y/Z)=224/-202/-83 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-29/99 (0.01g), AngSpeed(X/Y/Z)=224/-202/-83 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-31/96 (0.01g), AngSpeed(X/Y/Z)=224/-202/-83 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-33/101 (0.01g), AngSpeed(X/Y/Z)=224/-202/-83 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-26/96 (0.01g), AngSpeed(X/Y/Z)=222/-206/-85 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-30/98 (0.01g), AngSpeed(X/Y/Z)=222/-206/-85 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-30/96 (0.01g), AngSpeed(X/Y/Z)=222/-206/-85 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-32/96 (0.01g), AngSpeed(X/Y/Z)=222/-206/-85 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-27/101 (0.01g), AngSpeed(X/Y/Z)=222/-206/-85 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-29/94 (0.01g), AngSpeed(X/Y/Z)=212/-186/-88 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-30/100 (0.01g), AngSpeed(X/Y/Z)=212/-186/-88 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-29/95 (0.01g), AngSpeed(X/Y/Z)=212/-186/-88 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-33/93 (0.01g), AngSpeed(X/Y/Z)=212/-186/-88 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-26/99 (0.01g), AngSpeed(X/Y/Z)=212/-186/-88 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-28/96 (0.01g), AngSpeed(X/Y/Z)=212/-186/-88 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-32/101 (0.01g), AngSpeed(X/Y/Z)=212/-186/-81 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-29/96 (0.01g), AngSpeed(X/Y/Z)=185/-188/-81 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-30/97 (0.01g), AngSpeed(X/Y/Z)=185/-188/-81 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-30/98 (0.01g), AngSpeed(X/Y/Z)=185/-188/-81 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-34/98 (0.01g), AngSpeed(X/Y/Z)=185/-188/-81 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-29/100 (0.01g), AngSpeed(X/Y/Z)=185/-188/-81 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-27/100 (0.01g), AngSpeed(X/Y/Z)=185/-188/-81 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-33/100 (0.01g), AngSpeed(X/Y/Z)=174/-206/-74 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-30/94 (0.01g), AngSpeed(X/Y/Z)=174/-206/-74 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-29/99 (0.01g), AngSpeed(X/Y/Z)=174/-206/-74 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-31/99 (0.01g), AngSpeed(X/Y/Z)=174/-206/-74 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-32/104 (0.01g), AngSpeed(X/Y/Z)=174/-206/-74 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-33/103 (0.01g), AngSpeed(X/Y/Z)=174/-206/-74 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-27/90 (0.01g), AngSpeed(X/Y/Z)=157/-212/-76 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-23/98 (0.01g), AngSpeed(X/Y/Z)=157/-212/-76 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-39/101 (0.01g), AngSpeed(X/Y/Z)=157/-212/-76 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-29/90 (0.01g), AngSpeed(X/Y/Z)=157/-212/-76 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-28/101 (0.01g), AngSpeed(X/Y/Z)=157/-212/-76 (0.01deg/s)
